emailstatus;language;sent;remindersent;remindercount;usesleft;id;token;submitdate;lastpage;startlanguage;ipaddr;Q1;Q2;Q3;Q4;Q5_SQ001;Q6;Q7;Q8;Q9_SQ001;Q9_SQ002;Q9_SQ003;Q9_SQ004;Q9_SQ005;Q9_SQ006;Q9_SQ007;Q9_SQ008;Q9_SQ009;Q9_SQ010;Q9_SQ011;Q9_SQ012;Q9_SQ013;Q9_SQ014;Q9_SQ015;Q9_SQ016;Q9_SQ017;Q10_1;Q10_2;Q10_3;Q10_4;Q10_5;Q10_6;Q10_7;Q10_8;Q11_SQ001;Q11_SQ002;Q11_SQ003;Q11_SQ004;Q11_SQ005;Q11_SQ006;Q12_SQ001;Q12_SQ002;Q12_SQ003;Q12_SQ004;Q12_SQ005;Q12_SQ006;Q12_SQ007;Q13;Emplmnt;Age;Gradyear;filter_$;Age2cats;Grad2cats;age2017
OK;el;2016-12-04 12:05;N;0;0;1;g0dC9OQbRDQjY5X;1/1/1980 0:00:00;13;el;2.87.145.111;1;1981;1;2006;3;1;1;4;4;4;4;5;5;5;5;5;5;5;4;5;5;4;5;5;4;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;5;1;3;2;1;2;1;36
OK;el;2016-12-04 12:05;N;0;0;2;NeG08xgb8rgaN2u;1/1/1980 0:00:00;13;el;94.66.56.132;1;1981;1;2006;7;18; ;2;2;1;4;3;3;2;3;3;3;1;2;2;3;2;2;4;3;1;2;2;1;1;1;2;1;0;1;0;0;0;0;0;0;0;1;1;0;0;2;16;3;2;0;2;1;36
OK;el;2016-12-04 12:05;N;0;0;3;0KSuK8FnjyMslTp;1/1/1980 0:00:00;13;el;62.74.6.128;2;1973;1;2006;9;8;3;2;1;3;3;5;2;2;2;3;2;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;8;4;2;1;2;1;44
OK;el;2016-12-04 12:05;N;0;0;4;GCrqoYrjIpt8wYc;1/1/1980 0:00:00;13;el;2.87.184.16;2;1976;1;2005;9;4;1;1;1;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;4;4;2;1;2;1;41
OK;el;2016-12-04 12:06;N;0;0;6;pRPUVy~YHraqBc3;1/1/1980 0:00:00;13;el;5.54.248.141;1;1970;1;2007;7;4;2;3;2;1;1;1;1;2;3;3;3;2;2;3;3;1;2;1;2;1;1;2;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;4;4;4;2;1;2;1;47
OK;el;2016-12-04 12:05;N;0;0;7;W38Ylq6W7DwoqLE;1/1/1980 0:00:00;13;el;31.217.178.32;2;1979;1;2005;8;8;2;3;2;3;3;3;2;2;2;2;3;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;8;3;2;1;2;1;38
OK;el;2016-12-04 12:05;N;0;0;8;mMyOyc83Ae5Deb~;1/1/1980 0:00:00;13;el;78.187.86.144;2;1973;1;2004;9;4;2;1;1;1;1;2;1;1;1;3;1;1;1;3;1;1;1;3;1;2;2;2;2;2;1;1;2;0;0;1;0;0;0;0;1;1;1;1;1;1;1;4;4;2;1;2;1;44
OK;el;2016-12-04 12:05;N;0;0;9;0M8_T9ouNL96_wz;1/1/1980 0:00:00;13;el;79.107.103.98;2;1976;2;2001;8;2;3;1;2;1;1;3;2;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;1;1;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;2;4;1;0;2;1;41
OK;el;2016-12-05 15:34;N;0;0;11;xipulKhILfOdvK3;1/1/1980 0:00:00;13;el;77.172.150.214;1;1984;1;2009;8;4;2;2;1;3;3;3;2;2;2;3;3;2;2;2;2;1;2;2;2;1;1;2;2;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;2;4;2;3;1;1;2;33
OK;el;2016-12-05 15:38;2017-01-14 14:16;1;0;12;0vzCg0_hYxF6Gj2;1/1/1980 0:00:00;13;el;5.54.143.27;1;1973;1;2009;10;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;4;4;3;1;2;2;44
